Title,Authors,Address,Email,Corresponding Author
High-Throughput Screening of Dye-Ligands for Chromatography,"['Sunil Kumar', 'Narayan S Punekar']","1 Postdoctoral Research Associate, Lineberger Comprehensive Cancer Center, University of North Carolina at Chapel Hill, Chapel Hill, NC, USA.,
2 Biotechnology Group, Department of Biosciences and Bioengineering, Indian Institute of Technology Bombay, Mumbai, India. nsp@iitb.ac.in.",nsp@iitb.ac.in,Narayan S Punekar
"High-Throughput Screening of Atomic Defects in MXenes for CO 2 Capture, Activation, and Dissociation","['Vanshree Parey', 'B Moses Abraham', 'Showkat H Mir', 'Jayant K Singh']","1 Department of Chemical Engineering, Indian Institute of Technology Kanpur, Kanpur 208016, India.,
2 Department of Chemistry, Indian Institute of Technology Kanpur, Kanpur 208016, India.,
3 Prescience Insilico Private Limited, Bangalore 560049, India.",,Jayant K Singh
Protein Misfolding Diseases and Therapeutic Approaches,"['Kusum Yadav', 'Anurag Yadav', 'Priyanka Vashistha', 'Veda P Pandey', 'Upendra N Dwivedi']","1 Department of Biochemistry, University of Lucknow, Lucknow, U.P, India.,
2 Department of Microbiology, College of Basic Sciences and Humanities, Sardar Krushinagar Dantiwada Agricultural University, Banaskantha, Gujarat, India.,
3 Institute for Development of Advanced Computing, ONGC Centre for Advanced Studies, University of Lucknow, Lucknow, U.P., India.",,Upendra N Dwivedi
Virtual high throughput screening: Potential inhibitors for SARS-CoV-2 PL PRO and 3CL PRO proteases,"['Dhananjay Jade', 'Selvaraj Ayyamperumal', 'Vyshnavi Tallapaneni', 'Chandrasekar Moola Joghee Nanjan', 'Sagar Barge', 'Surender Mohan', 'Moola Joghee Nanjan']","1 Department of Pharmaceutical Chemistry, JSS College of Pharmacy, JSS Academy of Higher Education and Research, Ooty, 643001, Tamilnadu, India.,
2 Department of Pharmaceutical Chemistry, JSS College of Pharmacy, JSS Academy of Higher Education and Research, Ooty, 643001, Tamilnadu, India. Electronic address: ncsekar@jssuni.edu.in.,
3 Biochemistry and Drug Discovery Lab, Institute of Advanced Study in Science and Technology, Paschim Boragaon, Guwahati, 35, Assam, India.,
4 School of Biotechnology, Laboratory of Molecular Biology and Genetic Engineering, JNU, New Delhi, 110067 India.,
5 JSS College of Pharmacy, JSS Academy of Higher Education and Research, Ooty, 643001, Tamilnadu, India. Electronic address: mjnanjan@gmail.com.",mjnanjan@gmail.com,Moola Joghee Nanjan
Functional annotation of lncRNA in high-throughput screening,"['Chi Wai Yip', 'Divya M Sivaraman', 'Anika V Prabhu', 'Jay W Shin']","1 RIKEN Center for Integrative Medical Sciences, Yokohama, Kanagawa 230-0045, Japan.,
2 Department of Pathology, Sree Chitra Tirunal Institute for Medical Sciences and Technology, Kerala 695011, India.",,Jay W Shin
Virtual and experimental high throughput screening of substituted hydrazones on β-Tubulin polymerization,"['Janet Sabina Xavier', 'Karthikeyan Jayabalan', 'V Ragavendran', 'Muthu Tamizh Manoharan', 'A Nityananda Shetty']","1 Department of Chemistry, Sathyabama Institute of Science and Technology, Chennai 600119, India.,
2 Department of Chemistry, Sathyabama Institute of Science and Technology, Chennai 600119, India. Electronic address: karthikeyan.chemistry@sathyabama.ac.in.,
3 Department of Physics, Sri Chandrasekharendra Saraswathi Viswa Mahavidyalaya, Kanchipuram 631561, India.,
4 Department of Chemistry, Siddha Central Research Institute, Central Council for Research in Siddha, Arumbakkam, Chennai 600106, India.,
5 Department of Chemistry, National Institute of Technology Karnataka, Mangalore 575025, India.",,A Nityananda Shetty
SELECT-GLYCOCIN: a recombinant microbial system for expression and high-throughput screening of glycocins,"['Pravinkumar Choudhary', 'Alka Rao']","1 CSIR-Institute of Microbial Technology, Sector 39A, Chandigarh, 160036, India.,
2 CSIR-Institute of Microbial Technology, Sector 39A, Chandigarh, 160036, India. raoalka@imtech.res.in.,
3 Academy of Scientific and Innovation Research (AcSIR), Ghaziabad, 201002, India. raoalka@imtech.res.in.",raoalka@imtech.res.in,Alka Rao
Strategies for imaging mitophagy in high-resolution and high-throughput,"['Deepa Indira', 'Shankara Narayanan Varadarajan', 'Santhik Subhasingh Lupitha', 'Asha Lekshmi', 'Krupa Ann Mathew', 'Aneesh Chandrasekharan', 'Prakash Rajappan Pillai', 'Ishaque Pulikkal Kadamberi', 'Indu Ramachandran', 'Hari Sekar', 'Anurup Kochucherukkan Gopalakrishnan', 'Santhoshkumar Tr']","1 Cancer Research Program-1, Rajiv Gandhi Centre for Biotechnology, Thiruvananthapuram, Kerala, India. Electronic address: deepaindira@rgcb.res.in.,
2 Cancer Research Program-1, Rajiv Gandhi Centre for Biotechnology, Thiruvananthapuram, Kerala, India. Electronic address: shankaranarayana@rgcb.res.in.,
3 Cancer Research Program-1, Rajiv Gandhi Centre for Biotechnology, Thiruvananthapuram, Kerala, India. Electronic address: santhiksl@rgcb.res.in.,
4 Cancer Research Program-1, Rajiv Gandhi Centre for Biotechnology, Thiruvananthapuram, Kerala, India. Electronic address: ashalekshmi@rgcb.res.in.,
5 Cancer Research Program-1, Rajiv Gandhi Centre for Biotechnology, Thiruvananthapuram, Kerala, India. Electronic address: krupa@rgcb.res.in.,
6 Cancer Research Program-1, Rajiv Gandhi Centre for Biotechnology, Thiruvananthapuram, Kerala, India. Electronic address: aneeshc.sribs@rgcb.res.in.,
7 Cancer Research Program-1, Rajiv Gandhi Centre for Biotechnology, Thiruvananthapuram, Kerala, India. Electronic address: prakash@rgcb.res.in.,
8 Cancer Research Program-1, Rajiv Gandhi Centre for Biotechnology, Thiruvananthapuram, Kerala, India. Electronic address: ishaquepulikkal@gmail.com.,
9 Cancer Research Program-1, Rajiv Gandhi Centre for Biotechnology, Thiruvananthapuram, Kerala, India. Electronic address: indur@rgcb.res.in.,
10 Cancer Research Program-1, Rajiv Gandhi Centre for Biotechnology, Thiruvananthapuram, Kerala, India. Electronic address: haris@rgcb.res.in.,
11 Cancer Research Program-1, Rajiv Gandhi Centre for Biotechnology, Thiruvananthapuram, Kerala, India. Electronic address: anurupkg@rgcb.res.in.,
12 Cancer Research Program-1, Rajiv Gandhi Centre for Biotechnology, Thiruvananthapuram, Kerala, India. Electronic address: trsanthosh@rgcb.res.in.",trsanthosh@rgcb.res.in,Santhoshkumar Tr
Machine Learning-Driven High-Throughput Screening of Alloy-Based Catalysts for Selective CO 2 Hydrogenation to Methanol,"['Diptendu Roy', 'Shyama Charan Mandal', 'Biswarup Pathak']","1 Department of Chemistry, Indian Institute of Technology Indore, Indore 453552, India.",,Biswarup Pathak
InstaDock: A single-click graphical user interface for molecular docking-based virtual high-throughput screening,"['Taj Mohammad', 'Yash Mathur', 'Md Imtaiyaz Hassan']","1 Centre for Interdisciplinary Research in Basic Sciences, Jamia Millia Islamia, New Delhi, India.,
2 Department of Computer Science, Jamia Millia Islamia, New Delhi, India.,
3 Royal Society of Biology, UK, and fellow of Royal Society of Chemistry, UK.",,Md Imtaiyaz Hassan
